# This file is generated on 12-Dec-2021 at 19:43:05 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.8497e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9709e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3275e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0060e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.1463e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.8880e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0057e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.3598e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.8727e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.4981e-01
