# This file is generated on 12-Dec-2021 at 19:53:16 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Graz (Lat = 4.7090e+01 deg, Lon = 1.5460e+01 deg, Alt = 4.6800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.7265e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.4171e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1767e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.9930e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.8576e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.7646e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.7102e-01
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 4.6923e-01
