# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.4429e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.3109e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.2083e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1300e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.0722e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.0325e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.0093e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.0017e-01
