# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.1501e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.8474e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.6179e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.4378e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.9990e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.2929e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 8.8412e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.6000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.2558e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 5.7239e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.5000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.4624e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.3714e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.3000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.5184e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.1000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.8977e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.3806e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 6.0000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 9.6870e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.0537e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.7000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.6266e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.0001e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.1000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.9635e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.3000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.3090e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.2000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 9.5310e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.9000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 6.3373e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.1662e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.1765e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.5641e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 6.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.1473e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.8450e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.6157e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.4359e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.9990e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.2911e-02
