# This file is generated on 25-Nov-2021 at 16:59:54 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 2.0315e+01, 1.0000e-02
1, 1, 7.5000e+01, 1.6968e+01, 1.6000e-02
1, 1, 7.5000e+01, 1.3650e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.0848e+01, 4.5000e-02
1, 1, 7.5000e+01, 8.3619e+00, 7.7000e-02
1, 1, 7.5000e+01, 6.3700e+00, 1.3000e-01
1, 1, 7.5000e+01, 4.8870e+00, 2.1000e-01
1, 1, 7.5000e+01, 3.6240e+00, 3.5000e-01
1, 1, 7.5000e+01, 2.5946e+00, 6.0000e-01
1, 1, 7.5000e+01, 1.9220e+00, 9.5000e-01
1, 1, 7.5000e+01, 1.2885e+00, 1.7000e+00
1, 1, 7.5000e+01, 8.5345e-01, 3.0000e+00
1, 1, 7.5000e+01, 5.6977e-01, 5.1000e+00
1, 1, 7.5000e+01, 3.8684e-01, 8.3000e+00
1, 1, 7.5000e+01, 2.8558e-01, 1.2000e+01
1, 1, 7.5000e+01, 1.9318e-01, 1.9000e+01
1, 1, 7.5000e+01, 1.2919e-01, 3.0000e+01
1, 1, 7.5000e+01, 9.9564e-02, 4.0000e+01
1, 1, 7.5000e+01, 8.1045e-02, 5.0000e+01
1, 1, 7.5000e+01, 6.8334e-02, 6.0000e+01
1, 1, 7.5000e+01, 5.9055e-02, 7.0000e+01
1, 1, 7.5000e+01, 5.1975e-02, 8.0000e+01
1, 1, 7.5000e+01, 4.6394e-02, 9.0000e+01
1, 1, 7.5000e+01, 4.1882e-02, 9.9990e+01
1, 1, 7.5000e+01, 2.0315e+01, 1.0000e-02
1, 1, 7.5000e+01, 1.6968e+01, 1.6000e-02
1, 1, 7.5000e+01, 1.3650e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.0848e+01, 4.5000e-02
1, 1, 7.5000e+01, 8.3619e+00, 7.7000e-02
1, 1, 7.5000e+01, 6.3700e+00, 1.3000e-01
1, 1, 7.5000e+01, 4.8870e+00, 2.1000e-01
