# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 1.0092e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 8.3008e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 6.6326e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 5.3443e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.6962e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.9993e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 8.9449e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 1.5827e-03
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -7.1734e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, -1.3486e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -1.9043e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, -2.4015e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, -2.8516e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 2.3691e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 2.1915e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 2.0067e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.8380e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.6717e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.5191e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.3864e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.2512e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.1140e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.0002e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 8.5896e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 7.2229e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 5.9409e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 4.7470e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.8249e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 2.6454e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.4309e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 6.4019e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 1.1328e-03
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, -5.1341e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, -9.6520e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, -1.3629e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, -1.7187e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, -2.0409e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.8379e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.7001e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.5567e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.4258e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.2968e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.1785e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.0755e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 9.7063e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 8.6417e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 7.7594e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 6.6635e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 5.6032e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 4.6087e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.6825e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.9672e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 2.0522e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.1100e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 4.9663e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 8.7874e-04
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, -3.9828e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, -7.4876e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, -1.0573e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, -1.3333e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, -1.5833e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.5021e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.3894e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.2722e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.1653e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.0599e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 9.6313e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 8.7900e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 7.9328e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 7.0627e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 6.3417e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 5.4459e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.5794e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.7666e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 3.0096e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 2.4251e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.6772e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 9.0721e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 4.0589e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 7.1818e-04
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, -3.2551e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, -6.1195e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, -8.6409e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, -1.0897e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, -1.2940e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.2739e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.1784e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.0790e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 9.8830e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 8.9890e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 8.1685e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 7.4550e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 6.7279e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 5.9900e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 5.3785e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 4.6188e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 3.8839e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.1945e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.5525e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 2.0567e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.4225e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 7.6942e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 3.4424e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 6.0910e-04
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, -2.7607e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, -5.1900e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, -7.3284e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, -9.2419e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, -1.0974e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.1111e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.0278e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 9.4114e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 8.6202e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 7.8404e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 7.1247e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 6.5024e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 5.8683e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 5.2246e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 4.6912e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 4.0286e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 3.3876e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 2.7864e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.2264e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.7939e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.2407e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 6.7111e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 3.0025e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e+01, 5.3127e-04
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, -2.4079e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.0000e+01, -4.5269e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, -6.3921e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, -8.0610e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.9990e+01, -9.5721e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 9.9099e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 9.1669e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 8.3937e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 7.6881e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 6.9926e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 6.3543e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 5.7993e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 5.2337e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 4.6597e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 4.1839e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 3.5930e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 3.0213e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 2.4850e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 1.9856e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.5999e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.1066e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 5.9854e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 2.6779e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e+01, 4.7382e-04
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, -2.1475e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.0000e+01, -4.0374e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, -5.7008e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, -7.1894e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.9990e+01, -8.5370e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 9.0022e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 8.3272e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 7.6248e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 6.9838e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 6.3521e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 5.7723e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 5.2680e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 4.7543e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 4.2328e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 3.8007e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 3.2639e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 2.7445e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 2.2574e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 1.8037e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 1.4534e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 1.0052e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 5.4371e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.0000e+01, 2.4326e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.0000e+01, 4.3042e-04
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e+01, -1.9508e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.0000e+01, -3.6675e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.0000e+01, -5.1787e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.0000e+01, -6.5308e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.9990e+01, -7.7550e-02
