# This file is generated on 12-Dec-2021 at 19:55:41 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.2706e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.9318e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.6686e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.4674e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.3192e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.2173e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1577e-01
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 5.1381e-01
