# This file is generated on 12-Dec-2021 at 19:55:41 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.2564e+00, 5.4200e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.2564e+00, 5.4200e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.2564e+00, 5.4200e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.2564e+00, 5.4200e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.2564e+00, 5.4200e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.2014e+00, 5.1827e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.0999e+00, 4.7448e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 9.8240e-01, 4.2379e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 8.5375e-01, 3.6829e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 7.3762e-01, 3.1820e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 6.0422e-01, 2.6065e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 4.8067e-01, 2.0735e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 3.5209e-01, 1.5189e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.4104e-01, 1.0398e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 1.6476e-01, 7.1075e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 7.9595e-02, 3.4336e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.1678e-02, 9.3516e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 9.9870e-03, 4.3082e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.0000e+01, 9.1874e-04, 3.9633e-03
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 3.3231e-06, 1.4335e-05
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
